1,1,6,7,8,8,8,9,10,15,16,14,13,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,F,1,F,F,F,F,F,F,F,F,F,F,2,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3,F,3,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
3,F,3,F,F,F,F,4,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
5,F,5,F,F,F,F,F,F,F,F,F,F,F,5,5,F,F,F,F,F,F,F,F,F,F,F,F
5,F,5,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
1,6,1,F,F,F,F,F,F,F,F,F,F,2,F,F,F,F,F,F,F,F,F,F,F,F,F,F
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,F,7,7,7,7
8,F,8,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,8,8,F,F
9,F,9,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,9,9,F,F
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F
F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F,F