1,1,6,7,8,8,8,9,10,15,16,14,13,50,50,50,50,50,50,50,50,50,50,50,17,50,0,0,0,50,50,50
1,1,1,50,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3,3,3,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
3,3,3,50,50,50,50,4,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
5,5,5,50,50,50,50,50,50,50,50,50,50,50,5,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,5
5,5,5,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
1,6,1,50,50,50,50,50,50,50,50,50,50,2,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,50,7,7,7,7,7,7,7,7
8,8,8,50,8,8,8,8,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,8,8,50,50,50,50,50,50
9,9,9,50,9,9,9,9,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,9,9,50,50,50,50,50,50
0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,12,0,11,11,11,11
11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0,11,11,11,11
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50
17,17,17,50,17,17,17,17,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,17,17,50,50,50,50,50,50